Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
1,BEER,3318,CARLTON DRY CAN 375ML,3318,271101,24,344.000,14,8,253.590,107.000,395.900,359.906,35.994
1,BEER,9789,COOPERS PALE CAN 375ML,9789,861087,24,48.000,2,0,66.480,24.000,88.800,80.727,8.073
1,BEER,COR0001,CORONA BTL 355ML,1238,556072,24,363.000,15,3,232.900,85.000,314.500,285.908,28.592
1,BEER,EMU0002,EMU EXPORT CAN 375ML,1249,509842,30,465.000,15,15,687.350,295.000,944.000,858.183,85.817
1,BEER,5298,GREAT NTH 3.5% CAN 375ML,5298,443973,30,356.000,11,26,449.350,215.000,688.000,625.456,62.544
1,BEER,GUI0001,GUINNESS CAN 440ML,1254,569588,24,46.000,1,22,7.460,2.000,9.600,8.727,0.873
1,BEER,1095,HAHN S/DRY 3.5% CAN 375ML,1095,638468,30,257.000,8,16,303.750,135.000,432.000,392.728,39.272
1,BEER,1271,HEINEKEN BTL 330ML,1271,505149,24,24.000,1,0,192.410,71.000,262.700,238.816,23.884
1,BEER,JS002,J/SQUIRE 150 LASHES BTL 330ML *RR*,1276,052874,24,188.000,7,19,200.540,74.000,288.600,262.367,26.233
1,BEER,1969,L/CREAT ROGERS 3.8% BTL 330ML,1969,786143,24,6.000,0,6,229.600,80.000,296.000,269.089,26.911
1,BEER,3361,LITTLE CREAT PALE BTL 330ML,3361,585725,24,120.000,5,0,115.810,37.000,159.100,144.636,14.464
1,BEER,5557,MATSOS GINGER 3.5% CAN 330ML,5557,641526,24,77.000,3,5,141.780,34.000,146.200,132.909,13.291
1,BEER,CAR002,PURE BLONDE 3.5% BTL 330ML,1222,266753,24,129.000,5,9,77.220,33.000,112.200,102.000,10.200
1,BEER,844200,PURE BLONDE BTL 355ML *RR*,1217,397321,24,2.000,0,2,150.400,64.000,236.800,215.271,21.529
1,BEER,VIC0001,VB CAN 375ML,1318,780074,30,104.000,3,14,91.140,42.000,155.400,141.272,14.128
1,BEER,XXX0001,XXXX GOLD 3.5% CAN 375ML,1325,505987,30,152.000,5,1,40.470,19.000,60.800,55.273,5.527
2,CIDER,9304,SOMERSBY PEAR BTL 330ML *RR*,9304,565982,24,89.000,3,17,34.450,13.000,61.100,55.545,5.555
2,CIDER,23563,STRONGBOW DRY BTL 330ML,23563,572366,24,50.000,2,2,8.840,4.000,14.800,13.455,1.346
3,SPIRITS,BUND0001,BUNDY UP COLA CAN 375ML,3010,551551,24,37.000,1,13,56.420,13.000,80.600,73.273,7.327
3,SPIRITS,CAN0001,CAN/CLUB DRY CAN 375ML,3018,417278,30,91.000,3,0,61.460,14.000,86.800,78.910,7.890
3,SPIRITS,23400,CAN/CLUB SODA LIME 4.8% CAN 375ML,23400,425836,24,200.000,8,8,76.190,19.000,117.800,107.091,10.709
3,SPIRITS,JIM0001,J/BEAM COLA CAN 375ML,3049,610839,24,163.000,6,19,58.760,13.000,80.600,73.273,7.327
3,SPIRITS,JIM0002,J/BEAM ZERO CAN 375ML,3045,581687,24,304.000,12,15,312.780,78.000,483.600,439.638,43.962
3,SPIRITS,JAC0001,J/DANIELS COLA CAN 375ML,3030,570932,24,320.000,13,8,780.290,157.000,973.400,884.914,88.486
3,SPIRITS,1108,J/DANIELS DRY CAN 375ML,1108,596310,24,150.000,6,6,69.580,14.000,86.800,78.909,7.891
3,SPIRITS,6018,J/DANIELS N/SUGAR CAN 375ML,6018,427082,24,214.000,8,21,377.720,76.000,471.200,428.366,42.835
3,SPIRITS,23913,N/LIFE MARGARITA 0% CAN 250ML,23913,626911,24,13.000,0,13,2.950,1.000,6.000,5.455,0.546
3,SPIRITS,UDL0001,UDL VDK L/LIME SODA 4% CAN 375ML,3071,197250,24,117.000,4,21,21.550,5.000,28.000,25.455,2.546
3,SPIRITS,UDL0003,UDL VDK P/FRT 4% CAN 375ML,3073,197221,24,100.000,4,4,34.560,8.000,44.800,40.727,4.073
3,SPIRITS,3444,W/TURKEY COLA CAN 375ML,3444,281059,24,244.000,10,3,248.400,46.000,308.200,280.182,28.019
4,WINES,7109,*DEL* MCGUIGAN SHIRAZ 0% 187ML,7109,967304,24,26.000,1,1,6.060,2.000,12.000,10.909,1.091
4,WINES,16601,ANGOVE L/ROW SHIRAZ 187ML,16601,166636,24,5.000,0,5,10.760,4.000,20.400,18.546,1.854
4,WINES,JAC0005,JACOBS CK MERLOT 187ML,4120,585458,24,44.000,1,20,8.280,3.000,15.300,13.909,1.391
4,WINES,6612,JACOBS CK SAUV BLANC 187ML,6612,501001,24,31.000,1,7,38.640,14.000,71.400,64.909,6.491
