Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
1,BEER,3318,CARLTON DRY CAN 375ML,3318,271101,24,344.000,14,8,424.230,179.000,662.300,602.086,60.214
1,BEER,9789,COOPERS PALE CAN 375ML,9789,861087,24,48.000,2,0,72.020,26.000,96.200,87.454,8.746
1,BEER,COR0001,CORONA BTL 355ML,1238,556072,24,363.000,15,3,504.160,184.000,680.800,618.905,61.895
1,BEER,EMU0002,EMU EXPORT CAN 375ML,1249,509842,30,465.000,15,15,570.850,245.000,784.000,712.728,71.272
1,BEER,5298,GREAT NTH 3.5% CAN 375ML,5298,443973,30,356.000,11,26,397.100,190.000,608.000,552.728,55.272
1,BEER,GUI0001,GUINNESS CAN 440ML,1254,569588,24,46.000,1,22,14.920,4.000,19.200,17.455,1.746
1,BEER,1095,HAHN S/DRY 3.5% CAN 375ML,1095,638468,30,257.000,8,16,155.250,69.000,220.800,200.728,20.072
1,BEER,1271,HEINEKEN BTL 330ML,1271,505149,24,24.000,1,0,97.560,36.000,133.200,121.091,12.109
1,BEER,JS002,J/SQUIRE 150 LASHES BTL 330ML *RR*,1276,052874,24,188.000,7,19,303.520,112.000,436.800,397.095,39.705
1,BEER,KIL0001,KILKENNY CAN 440ML,1278,569481,24,54.000,2,6,29.360,8.000,34.400,31.273,3.127
1,BEER,1969,L/CREAT ROGERS 3.8% BTL 330ML,1969,786143,24,6.000,0,6,338.660,118.000,436.600,396.906,39.694
1,BEER,3361,LITTLE CREAT PALE BTL 330ML,3361,585725,24,120.000,5,0,103.290,33.000,141.900,129.000,12.900
1,BEER,5557,MATSOS GINGER 3.5% CAN 330ML,5557,641526,24,77.000,3,5,158.460,38.000,163.400,148.546,14.855
1,BEER,CAR002,PURE BLONDE 3.5% BTL 330ML,1222,266753,24,129.000,5,9,32.760,14.000,47.600,43.273,4.327
1,BEER,844200,PURE BLONDE BTL 355ML *RR*,1217,397321,24,2.000,0,2,173.900,74.000,273.800,248.908,24.893
1,BEER,VIC0001,VB CAN 375ML,1318,780074,30,104.000,3,14,97.650,45.000,166.500,151.363,15.137
1,BEER,XXX0001,XXXX GOLD 3.5% CAN 375ML,1325,505987,30,152.000,5,1,25.560,12.000,38.400,34.909,3.491
2,CIDER,9342,REKORD STRWB/LIME 4% BTL 330ML,9342,231562,24,0.000,0,0,34.720,8.000,48.000,43.636,4.364
2,CIDER,9304,SOMERSBY PEAR BTL 330ML *RR*,9304,565982,24,89.000,3,17,98.050,37.000,173.900,158.090,15.810
