Group_Number,Group_Description,Inventory_Code,PLU_Number,Description,UnitsPerCase,SupplierStockCode,SOH,Cases,Units,CASESCARTONS,Min_Stock,Max_Stock,OnOrder,DAYSSTOCK,REORDERQTY,ReorderCases,ReorderUnits,REORDERCASESCARTONS,SUMOFQTY_7,SUMOFSALES_7,SUMOFSALESEX_7,SUMOFCOST_7,SUMOFQTY_28,SUMOFSALES_28,SUMOFSALESEX_28,SUMOFCOST_28
1,BEER,3318,3318,CARLTON DRY CAN 375ML,24,271101,344.000,14,8,14/8,0.000,0.000,120.000,18.208,0.000,0,8,-19/8,108.000,399.600,363.270,255.960,529.000,1957.300,1779.350,1253.730
1,BEER,18835,18835,CARLTON ZERO 0% CAN 375ML,24,196330,24.000,1,0,1/0,0.000,0.000,24.000,336.000,0.000,0,0,-2/0,0.000,0.000,0.000,0.000,2.000,6.000,5.455,3.160
1,BEER,9789,9789,COOPERS PALE CAN 375ML,24,861087,48.000,2,0,2/0,0.000,0.000,72.000,17.455,0.000,0,0,-5/0,24.000,88.800,80.727,66.480,77.000,284.900,258.998,213.290
1,BEER,COR0001,1238,CORONA BTL 355ML,24,556072,363.000,15,3,15/3,0.000,0.000,456.000,16.800,0.000,0,3,-34/3,66.000,244.200,221.999,180.840,605.000,2238.500,2034.986,1657.700
1,BEER,EMU0002,1249,EMU EXPORT CAN 375ML,30,509842,465.000,15,15,15/15,0.000,0.000,240.000,15.104,0.000,0,15,-23/15,282.000,902.400,820.365,657.060,862.000,2758.400,2507.640,2008.460
1,BEER,5298,5298,GREAT NTH 3.5% CAN 375ML,30,443973,356.000,11,26,11/26,0.000,0.000,1260.000,14.039,0.000,0,26,-53/26,181.000,579.200,526.547,378.290,710.000,2272.000,2065.459,1483.900
1,BEER,GUI0001,1254,GUINNESS CAN 440ML,24,569588,46.000,1,22,1/22,0.000,0.000,0.000,143.111,0.000,0,22,-1/22,2.000,9.600,8.727,7.460,9.000,43.200,39.273,33.570
1,BEER,1095,1095,HAHN S/DRY 3.5% CAN 375ML,30,638468,257.000,8,16,8/17,0.000,0.000,600.000,19.501,0.000,0,17,-28/17,125.000,400.000,363.637,281.250,369.000,1180.800,1073.458,830.250
1,BEER,1271,1271,HEINEKEN BTL 330ML,24,505149,24.000,1,0,1/0,0.000,0.000,552.000,3.818,0.000,0,0,-24/0,60.000,222.000,201.817,162.600,176.000,651.200,591.996,476.960
1,BEER,JS002,1276,J/SQUIRE 150 LASHES BTL 330ML *RR*,24,052874,188.000,7,19,7/20,0.000,0.000,288.000,22.305,0.000,0,20,-19/20,74.000,288.600,262.367,200.540,236.000,920.400,836.736,639.560
